DMIAdv,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Jan,13.552,12.705,13.552,14.399,16.94,16.94,16.94,16.94,16.94,16.94,16.94,16.2624
Feb,16.2624,13.552,12.705,13.552,14.399,16.94,16.94,16.94,16.94,16.94,16.94,16.94
Mar,16.94,16.2624,13.552,12.705,13.552,14.399,16.94,16.94,16.94,16.94,16.94,16.94
Apr,16.94,16.94,16.2624,13.552,12.705,13.552,14.399,16.94,16.94,16.94,16.94,16.94
May,16.94,16.94,16.94,16.2624,13.552,12.705,13.552,14.399,16.94,16.94,16.94,16.94
Jun,16.94,16.94,16.94,16.94,16.2624,13.552,12.705,13.552,14.399,16.94,16.94,16.94
Jul,16.94,16.94,16.94,16.94,16.94,16.2624,13.552,12.705,13.552,14.399,16.94,16.94
Aug,16.94,16.94,16.94,16.94,16.94,16.94,16.2624,13.552,12.705,13.552,14.399,16.94
Sep,16.94,16.94,16.94,16.94,16.94,16.94,16.94,16.2624,13.552,12.705,13.552,14.399
Oct,14.399,16.94,16.94,16.94,16.94,16.94,16.94,16.94,16.2624,13.552,12.705,13.552
Nov,13.552,14.399,16.94,16.94,16.94,16.94,16.94,16.94,16.94,16.2624,13.552,12.705
Dec,12.705,13.552,14.399,16.94,16.94,16.94,16.94,16.94,16.94,16.94,16.2624,13.552
