MEMAINT,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Jan,56.2,113.6469387,99.31155463,91.57094404,90.26780891,87.0441864,82.94666667,82.94666667,79.09333333,70.48,65.72,60.96
Feb,60.96,56.2,113.6469387,99.31155463,91.57094404,90.26780891,87.0441864,82.94666667,82.94666667,79.09333333,70.48,65.72
Mar,65.72,60.96,56.2,113.6469387,99.31155463,91.57094404,90.26780891,87.0441864,82.94666667,82.94666667,79.09333333,70.48
Apr,70.48,65.72,60.96,56.2,113.6469387,99.31155463,91.57094404,90.26780891,87.0441864,82.94666667,82.94666667,79.09333333
May,79.09333333,70.48,65.72,60.96,56.2,113.6469387,99.31155463,91.57094404,90.26780891,87.0441864,82.94666667,82.94666667
Jun,82.94666667,79.09333333,70.48,65.72,60.96,56.2,113.6469387,99.31155463,91.57094404,90.26780891,87.0441864,82.94666667
Jul,82.94666667,82.94666667,79.09333333,70.48,65.72,60.96,56.2,113.6469387,99.31155463,91.57094404,90.26780891,87.0441864
Aug,87.0441864,82.94666667,82.94666667,79.09333333,70.48,65.72,60.96,56.2,113.6469387,99.31155463,91.57094404,90.26780891
Sep,90.26780891,87.0441864,82.94666667,82.94666667,79.09333333,70.48,65.72,60.96,56.2,113.6469387,99.31155463,91.57094404
Oct,91.57094404,90.26780891,87.0441864,82.94666667,82.94666667,79.09333333,70.48,65.72,60.96,56.2,113.6469387,99.31155463
Nov,99.31155463,91.57094404,90.26780891,87.0441864,82.94666667,82.94666667,79.09333333,70.48,65.72,60.96,56.2,113.6469387
Dec,113.6469387,99.31155463,91.57094404,90.26780891,87.0441864,82.94666667,82.94666667,79.09333333,70.48,65.72,60.96,56.2
