,"Contract","Spot"
"Jan", 0.000000000000E+00, 5.525105945809E+03
"Feb", 0.000000000000E+00, 5.529575598194E+03
"Mar", 0.000000000000E+00, 5.529575598215E+03
"Apr", 0.000000000000E+00, 5.529575598194E+03
"May", 0.000000000000E+00, 5.529575598194E+03
"Jun", 0.000000000000E+00, 5.529575598194E+03
"Jul", 0.000000000000E+00, 5.529575598194E+03
"Aug", 0.000000000000E+00, 5.529575598194E+03
"Sep", 0.000000000000E+00, 5.529575598194E+03
"Oct", 0.000000000000E+00, 5.529575598194E+03
"Nov", 0.000000000000E+00, 5.529575598194E+03
"Dec", 0.000000000000E+00, 5.529575598194E+03
